id,titre,categorie,output_kind,source
ai-ethics-governance,Gouvernance de l'IA éthique & responsable,TRANSFORMATION DIGITALE & IA,analysis,heuristique
analyse-brevets-et-propriete-intellectuelle,Analyse des brevets & de la propriété intellectuelle,INNOVATION & R&D,analysis,heuristique
analyse-causes-racines-ishikawa-5-why,Analyse des causes racines (Ishikawa / 5 Pourquoi),QUALITÉ & EXCELLENCE OPÉRATIONNELLE,analysis,heuristique
analyse-chaine-valeur-projet-sectoriel,Analyse de la chaîne de valeur d'un projet sectoriel,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
analyse-chaînes-de-valeur-mondiales,Analyse des chaînes de valeur mondiales,INTELLIGENCE ÉCONOMIQUE & VEILLE,analysis,heuristique
analyse-comportementale-en-equipe,Analyse comportementale en équipe (Team dynamics),PERSONNALITÉ & COMPORTEMENT PROFESSIONNEL,profile,heuristique
analyse-compétitivité-nationale-territoriale,Analyse de la compétitivité nationale & territoriale,STRATÉGIE & MANAGEMENT,analysis,heuristique
analyse-concurrentielle-veille-marche,Analyse concurrentielle & veille marché,MARKETING & COMMERCIAL,analysis,heuristique
analyse-cout-benefice-projet-public,Analyse coût-bénéfice (ACB) de projet public,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
analyse-cout-total-d-acquisition-tco,Analyse coût total d'acquisition (TCO),SUPPLY CHAIN & ACHATS,analysis,heuristique
analyse-cout-volume-profit-seuil-de-rentabilite,Analyse coût-volume-profit & seuil de rentabilité,FINANCE & GESTION,analysis,heuristique
analyse-cv-preselction-ats-ia,Analyse de CV & présélection automatisée (ATS IA),RH & CAPITAL HUMAIN,analysis,heuristique
analyse-de-faisabilite-et-etude-d-opportunite,Analyse de faisabilité & étude d'opportunité,GESTION DE PROJETS & PMO,analysis,heuristique
analyse-de-l-innovation-sociale-et-solutions-inclusives,Analyse de l'innovation sociale & solutions inclusives,INNOVATION & R&D,analysis,heuristique
analyse-de-la-chaine-de-valeur,Analyse de la chaîne de valeur,STRATÉGIE & MANAGEMENT,analysis,heuristique
analyse-de-la-dette-publique-et-financement-souverain,Analyse de la dette publique & financement souverain,FINANCE & GESTION,analysis,heuristique
analyse-de-la-disruption-et-reponse-strategique,Analyse de la disruption & réponse stratégique,STRATÉGIE & MANAGEMENT,analysis,heuristique
analyse-de-la-performance-economique,"Analyse de la performance économique (EVA, EBITDA)",FINANCE & GESTION,analysis,heuristique
analyse-de-la-structure-du-capital,"Analyse de la structure du capital (WACC, levier financier)",FINANCE & GESTION,analysis,heuristique
analyse-de-maturite-technologique-trl-nasa-scale,Analyse de maturité technologique (TRL — NASA scale),INNOVATION & R&D,assessment,heuristique
analyse-de-matérialité-des-enjeux-esg,Analyse de matérialité des enjeux ESG,RSE & DÉVELOPPEMENT DURABLE,analysis,heuristique
analyse-de-rentabilite-d-investissement,Analyse de rentabilité d'investissement (ROI/TRI/VAN),FINANCE & GESTION,analysis,heuristique
analyse-de-risques-chantier-et-hse,Analyse de risques chantier & HSE,OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
analyse-de-risques-fmea-amdec-sectorielle,Analyse de risques FMEA/AMDEC sectorielle,GESTION DES RISQUES,analysis,heuristique
analyse-de-risques-fournisseurs-supply-chain,Analyse de risques fournisseurs & supply chain,SUPPLY CHAIN & ACHATS,analysis,heuristique
analyse-de-sensibilite-et-simulation-de-scenarios,Analyse de sensibilité & simulation de scénarios,FINANCE & GESTION,analysis,heuristique
analyse-dependance-critique-aux-fournisseurs,Analyse de la dépendance critique aux fournisseurs,GESTION DES RISQUES,analysis,heuristique
analyse-des-5-forces-de-porter-et-intensite-concurrentielle,Analyse des 5 forces de Porter & intensité concurrentielle,STRATÉGIE & MANAGEMENT,analysis,heuristique
analyse-des-besoins-en-formation,Analyse des besoins en formation (ABF),RH & CAPITAL HUMAIN,analysis,heuristique
analyse-des-coûts,"Analyse des coûts, pricing & politique tarifaire",FINANCE & GESTION,analysis,heuristique
analyse-des-donnees-d-apprentissage,Analyse des données d'apprentissage (xAPI/SCORM),PROFILS APPRENANTS & PÉDAGOGIE,profile,heuristique
analyse-des-flux-de-tresorerie,Analyse des flux de trésorerie (Cash flow statement),FINANCE & GESTION,analysis,heuristique
analyse-des-marches-emergents-africains,Analyse des marchés émergents africains,INTELLIGENCE ÉCONOMIQUE & VEILLE,analysis,heuristique
analyse-des-opportunites-de-croissance,Analyse des opportunités de croissance,STRATÉGIE & MANAGEMENT,analysis,heuristique
